ID,Name,Station,y,x
7657,1 Market St - SMART,1 Market St - SMART,43.6469928,-79.3706665
7708,NA,101 Cedarvale Ave,43.6868681,-79.3110942
7710,NA,11 Spadina Rd,43.6677246,-79.4041365
7268,111 Bond St (North of Dundas St E)  - SMART,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497
7702,NA,111 Broadview Ave,43.6593483,-79.3499366
7383,12 Harbour St,12 Harbour St,43.6425636,-79.3762
7497,128 Sterling Ave - SMART,128 Sterling Rd - SMART,43.654004,-79.444792
7677,1303 Yonge St - SMART,1303 Yonge St - SMART,43.6846177,-79.3924592
7639,135 Queens Wharf  - SMART,135 Queens Wharf Rd - SMART,43.6399714,-79.399404
7675,1525 Dundas St,1525 Dundas St W,43.64957,-79.432446
7071,161 Bleecker St (South of Wellesley),161 Bleecker St (South of Wellesley),43.666233,-79.373327
7779,NA,165 McRae Dr,43.7065616,-79.36781965
7291,190 Queens Quay E,190 Queens Quay E,43.6451308,-79.3653644
7752,NA,1926 Lake Shore Blvd W,43.6357643,-79.4674917
7385,20 Charles St E,20 Charles St E,43.6691099,-79.38551
7689,NA,20 Eaton Ave,43.680012,-79.3440325
7332,200 Bloor St. E.,200 Bloor St E,43.671561,-79.38117
7704,NA,24 Mountjoy Ave,43.6808774,-79.3304491
7681,25 Booth Ave,25 Booth Ave,43.6544839,-79.341057
7070,25 York St  Union Station South,25 York St  Union Station South,43.643667,-79.380414
7729,NA,265 Armadale Ave,43.6501644,-79.4829691
7660,285 Victoria St,285 Victoria St,43.656633,-79.379625
7492,324 Cherry St,324 Cherry St,43.6482995,-79.3552533
7753,NA,36 Park Lawn Rd,43.6236917,-79.4838132
7519,406 Oakwood Ave,406 Oakwood Ave,43.6882706,-79.43937767
7123,424 Wellington St W,424 Wellington St W,43.643834,-79.396649
7549,439 Sherbourne St,439 Sherbourne St,43.666051,-79.374161
7323,457 King St. W. at Spadina,457 King St W,43.6452091,-79.3960744
7064,51 Parliament St,51 Parliament St,43.65205,-79.362198
7241,519 Church St - SMART,519 Church St,43.666874,-79.381155
7531,541 Huron St - SMART,541 Huron St - SMART,43.670206,-79.402643
7783,NA,60 Carl Hall Rd - SMART,43.7482972,-79.4757057
7117,640 Bloor Street E,640 Bloor Street E,43.67468857,-79.36701962
7778,NA,75 Thorncliffe Park Dr,43.70518328,-79.3422473
7208,80 Clinton St (North of College),80 Clinton St,43.656296,-79.414663
7730,NA,800 Fleet St,43.636804,-79.408832
7692,NA,85 Lee Ave,43.6700692,-79.2971326
7648,909 Yonge St,909 Yonge St,43.67515256,-79.38849616
7473,Adelaide St W / Strachan Ave,Adelaide St W / Strachan Ave,43.64325309,-79.4123047
7582,Alameda Ave / Vaughan Rd - SMART,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028
7766,NA,Albany Ave / Bloor St W,43.66554144,-79.41010318
7367,Alma Ave / Gladstone Ave SMART,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822
7343,Alton Ave / Dundas St E (Greenwood Park),Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408
7540,Alvin Ave / St Clair Ave E,Alvin Ave / St Clair Ave E,43.68871,-79.39264
7312,Amelia St. / Sumach St.,Amelia St. / Sumach St.,43.66852,-79.363525
7515,Amos Waites Park,Amos Waites Park,43.613606,-79.4883535
7659,Amroth Ave / Danforth Ave,Amroth Ave / Danforth Ave,43.6856128,-79.3116827
7641,Annette St / Dundas W,Annette St / Dundas St W,43.6641174,-79.4588522
7561,Annette St / Jane St,Annette St / Jane St,43.658574,-79.487246
7477,Antler St / Campbell Ave - SMART,Antler St / Campbell Ave - SMART,43.664182,-79.449066
7768,NA,Armoury St / Chestnut St,43.653518,-79.38591064
