Station,,,,,,,,,,,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12,2023.01,2023.02,2023.03
1 Market St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,497,216,147,188,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Market St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,179,471,766,794,911,857,846,698,493,279,112,107,201,334,660,678,828,1057,815,597,457,205,208,173,284
111 Bond St (North of Dundas St E),,,,,,,,,,,,,,,,,,86,246,209,126,51,42,57,110,113,242,307,339,328,337,88,15,59,52,33,113,258,262,420,379,326,368,303,206,126,147,140,119,30,54,106,156,213,241,137,118,91,48,59,129,150,183,236,262,294,287,252,101,20,29,48,152,132,264,318,365,430,477,359,290,120,165,174,263
12 Harbour St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,673,457,277,175,146,85,192,244,435,795,1094,1244,863,586,291,180,169,134,258,208,513,1168,1450,1439,1153,762,565,262,283,203,470,667,1205,1435,1613,1756,1304,1021,564,335,134,117,274,464,854,1086,1271,1316,1048,883,497,281,267,178,293
123 Queen St W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,879,945,832,446,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128 Sterling Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,297,228,180,125,50,56,99,62,26,86,162,202,249,313,185,165,65,81,82,138,139,202,271,271,295,250,211,193,106,48,47,116,168,365,460,499,479,426,423,267,141,106,100,181
1303 Yonge St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,276,165,77,83,178,250,459,602,507,529,405,457,269,180,183,149,203
135 Queens Wharf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,214,121,64,62,155,210,425,488,488,529,505,302,225,116,111,123,190
135 Queens Wharf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525 Dundas St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,261,188,82,77,219,357,570,854,873,962,929,625,459,250,198,203,192
161 Bleecker St (South of Wellesley),,,,,,,,,,,446,492,520,1232,1390,366,222,194,88,125,112,51,51,43,101,94,162,241,209,218,279,283,176,172,98,50,150,231,238,236,263,283,332,414,290,132,172,134,166,102,184,395,451,497,434,309,253,162,128,68,199,194,259,229,270,325,395,436,323,251,96,74,221,357,892,1129,737,726,582,622,373,229,156,165,195
