distance_bin,EFIT,ICONIC,interval_start,EFIT_normalized,ICONIC_normalized
"[0, 200)",364,1949,0,0.002767387403825685,0.003099549778069691
"[200, 400)",1100,7601,200,0.008362983912660037,0.01208808510164583
"[400, 600)",2105,16300,400,0.016003710123772164,0.025922350632394033
"[600, 800)",3267,23818,600,0.02483806222060031,0.03787843848848841
"[800, 1000)",4601,30592,800,0.03498008089286257,0.04865132211939867
"[1000, 1200)",5064,33921,1000,0.03850013684882766,0.05394552489579374
"[1200, 1400)",5944,37109,1200,0.04519052397895569,0.05901549138757731
"[1400, 1600)",6377,37502,1400,0.048482498555484595,0.059640490393622146
"[1600, 1800)",6411,36624,1600,0.04874099078551227,0.058244182181644115
"[1800, 2000)",6597,37262,1800,0.050155095338016605,0.05925881161130469
"[2000, 2200)",6405,35562,2000,0.048695374509625036,0.05655525356988936
"[2200, 2400)",6230,32614,2200,0.0473648997962473,0.05186696586042325
"[2400, 2600)",6116,29946,2400,0.04649819055438981,0.04762397006366084
"[2600, 2800)",5579,27879,2600,0.04241553386248213,0.04433676155095173
"[2800, 3000)",5738,26081,2800,0.043624365173493905,0.04147735134009011
"[3000, 3200)",5041,22509,3000,0.038325274457926585,0.03579669879659861
"[3200, 3400)",4693,20828,3200,0.035679530456466865,0.03312335699211674
"[3400, 3600)",4374,18624,3400,0.033254265121795454,0.02961827350783475
"[3600, 3800)",4345,18814,3600,0.033033786455007146,0.029920435877169405
"[3800, 4000)",3861,15765,3800,0.02935407353343673,0.025071525013478032
"[4000, 4200)",3304,12944,4000,0.025119362588571604,0.020585208992988244
"[4200, 4400)",2775,11104,4200,0.021097527597846912,0.017659004995221064
"[4400, 4600)",2791,9777,4400,0.021219171000212877,0.015548639394657452
"[4600, 4800)",2493,9679,4600,0.018953562631146795,0.015392787225211155
"[4800, 5000)",2345,7427,4800,0.017828361159261626,0.011811367984465674
"[5000, 5200)",1944,6436,5000,0.014779673387464647,0.010235352679146503
"[5200, 5400)",1822,5998,5200,0.01385214244442417,0.009538788901417142
"[5400, 5600)",1721,5599,5400,0.013084268466989022,0.008904247925814367
"[5600, 5800)",1664,4734,5600,0.012650913846060274,0.007528613981211862
"[5800, 6000)",1562,4354,5800,0.011875437155977253,0.006924289242542553
"[6000, 6200)",1267,3749,6000,0.009632636924854788,0.005962140645450627
"[6200, 6400)",1281,3246,6200,0.009739074901925007,0.005162205530843621
"[6400, 6600)",1002,3220,6400,0.007617918073168506,0.0051208569960925635
"[6600, 6800)",1063,2871,6600,0.008081683544688745,0.0045658324334725935
"[6800, 7000)",891,2529,6800,0.0067740169692546304,0.004021940168670215
"[7000, 7200)",837,2445,7000,0.006363470486269501,0.003888352594859105
"[7200, 7400)",757,2029,7200,0.00575525347443968,0.0032267760388421775
"[7400, 7600)",737,1864,7400,0.005603199221482225,0.002964371875998925
"[7600, 7800)",661,1902,7600,0.005025393060243895,0.0030248043498658558
"[7800, 8000)",618,1569,7800,0.004698476416385366,0.0024952250394003825
"[8000, 8200)",557,1408,8000,0.004234710944865128,0.0022391821895957546
"[8200, 8400)",475,1329,8200,0.0036112885077395616,0.0021135462570829244
"[8400, 8600)",472,1261,8400,0.0035884803697959432,0.0020054039354263113
"[8600, 8800)",482,1087,8600,0.0036645074962746707,0.001728686818246154
"[8800, 9000)",434,995,8800,0.003299577289176778,0.0015823766183577952
"[9000, 9200)",388,990,9000,0.0029498525073746312,0.001574424977059515
"[9200, 9400)",368,965,9200,0.002797798254417176,0.0015346667705681129
"[9400, 9600)",310,748,9400,0.002356840920840556,0.0011895655382227447
"[9600, 9800)",318,840,9600,0.002417662622023538,0.0013358757381111035
"[9800, 10000)",275,603,9800,0.0020907459781650093,0.0009589679405726136
"[10000, 10200)",249,561,10000,0.0018930754493203174,0.0008921741536670584
"[10200, 10400)",208,572,10200,0.0015813642307575342,0.0009096677645232753
"[10400, 10600)",249,475,10400,0.0018930754493203174,0.0007554059233366359
"[10600, 10800)",188,420,10600,0.001429309977800079,0.0006679378690555518
"[10800, 11000)",148,392,10800,0.0011252014718851687,0.0006234086777851816
"[11000, 11200)",159,344,11000,0.001208831311011769,0.00054707292132169
"[11200, 11400)",134,267,11200,0.0010187634948149499,0.0004246176453281722
"[11400, 11600)",138,289,11400,0.001049174345406441,0.00045960486704060583
"[11600, 11800)",116,235,11600,0.0008819146671532402,0.00037372714101917775
"[11800, 12000)",117,244,11800,0.000889517379801113,0.00038804009535608244
